Ubicacion,maquina_id,Fecha,UPC,Aceptada,Participante
Obispo/Contrueces,T34,"2021-11-22 09:01:00",8480024834942,1,2010008188264
Proaza,T65,"2021-11-22 09:01:00",8430807009524,1,2010008828917
Proaza,T65,"2021-11-22 09:01:00",8422823280186,0,008d774b-1527-467b-8be9-e2a23a6ac097
Proaza,T65,"2021-11-22 09:01:00",8430807001481,0,008d774b-1527-467b-8be9-e2a23a6ac097
Proaza,T65,"2021-11-22 09:02:00",8430807009524,1,2010008828917
Proaza,T65,"2021-11-22 09:02:00",8430807012432,1,2010008828917
Proaza,T65,"2021-11-22 09:02:00",8430807009524,1,2010008828917
Proaza,T65,"2021-11-22 09:02:00",8430807009524,1,2010008828917
Florida,T49,"2021-11-22 09:08:00",8425561010039,1,2010000165560
Florida,T49,"2021-11-22 09:08:00",8425561010039,1,2010000165560
Florida,T49,"2021-11-22 09:08:00",8425561010039,1,2010000165560
Florida,T49,"2021-11-22 09:08:00",8425561010039,1,2010000165560
Florida,T49,"2021-11-22 09:09:00",8425561010039,1,2010000165560
Florida,T49,"2021-11-22 09:09:00",8425561010022,1,2010000165560
Argañosa,T51,"2021-11-22 09:06:00",8410569510001,1,2010000140635
Argañosa,T51,"2021-11-22 09:06:00",8410569615614,1,2010000140635
Argañosa,T51,"2021-11-22 09:06:00",8480024834300,1,2010000140635
Argañosa,T51,"2021-11-22 09:06:00",4056489256175,1,2010000140635
Argañosa,T51,"2021-11-22 09:06:00",4056489256175,1,2010000140635
Argañosa,T51,"2021-11-22 09:06:00",8410569510001,1,2010000140635
Argañosa,T51,"2021-11-22 09:06:00",8410569615614,1,2010000140635
Argañosa,T51,"2021-11-22 09:07:00",8480024834300,1,2010000140635
Argañosa,T51,"2021-11-22 09:07:00",8410569510001,1,2010000140635
Argañosa,T51,"2021-11-22 09:07:00",8480024834300,1,2010000140635
Argañosa,T51,"2021-11-22 09:07:00",8410569615614,1,2010000140635
Argañosa,T51,"2021-11-22 09:07:00",8410569510001,1,2010000140635
Argañosa,T51,"2021-11-22 09:07:00",54491472,1,2010000140635
Argañosa,T51,"2021-11-22 09:07:00",8410494301361,1,2010000140635
Argañosa,T51,"2021-11-22 09:07:00",8480024834300,1,2010000140635
Argañosa,T51,"2021-11-22 09:07:00",8410569615614,1,2010000140635
Argañosa,T51,"2021-11-22 09:07:00",8410569510001,1,2010000140635
Argañosa,T51,"2021-11-22 09:07:00",8410569510001,1,2010000140635
Argañosa,T51,"2021-11-22 09:07:00",8410569615614,1,2010000140635
Argañosa,T51,"2021-11-22 09:07:00",20269364,0,008d774b-1527-467b-8be9-e2a23a6ac097
Argañosa,T51,"2021-11-22 09:07:00",20269364,0,008d774b-1527-467b-8be9-e2a23a6ac097
Argañosa,T51,"2021-11-22 09:08:00",8410569510001,1,2010000140635
Argañosa,T51,"2021-11-22 09:08:00",8410569615614,1,2010000140635
Argañosa,T51,"2021-11-22 09:08:00",8410569615614,1,2010000140635
Argañosa,T51,"2021-11-22 09:08:00",8410569510001,1,2010000140635
Argañosa,T51,"2021-11-22 09:08:00",5449000011527,1,2010000140635
"Posada Llanera",T56,"2021-11-22 09:17:00",8410128010119,1,2010006822771
"Posada Llanera",T56,"2021-11-22 09:17:00",8410128010119,1,2010006822771
"Posada Llanera",T56,"2021-11-22 09:17:00",8470003165549,0,008d774b-1527-467b-8be9-e2a23a6ac097
"Posada Llanera",T56,"2021-11-22 09:17:00",4002160092150,1,2010006822771
"Posada Llanera",T56,"2021-11-22 09:17:00",8410010260929,0,008d774b-1527-467b-8be9-e2a23a6ac097
"Posada Llanera",T56,"2021-11-22 09:17:00",3700123300014,1,2010006822771
"Posada Llanera",T56,"2021-11-22 09:17:00",3700123300014,1,2010006822771
"Posada Llanera",T56,"2021-11-22 09:18:00",8410297011108,1,2010006822771
"Posada Llanera",T56,"2021-11-22 09:18:00",3700123300014,1,2010006822771
"Posada Llanera",T56,"2021-11-22 09:18:00",8410128010119,1,2010006822771
"Posada Llanera",T56,"2021-11-22 09:18:00",8470003165549,0,008d774b-1527-467b-8be9-e2a23a6ac097
"Posada Llanera",T56,"2021-11-22 09:18:00",8410010260929,0,008d774b-1527-467b-8be9-e2a23a6ac097
Labra,T26,"2021-11-22 09:15:00",8480024735508,0,008d774b-1527-467b-8be9-e2a23a6ac097
Labra,T26,"2021-11-22 09:15:00",8410297161711,1,2010007378550
Labra,T26,"2021-11-22 09:15:00",5449000000996,1,2010007378550
Labra,T26,"2021-11-22 09:15:00",5449000000996,1,2010007378550
Labra,T26,"2021-11-22 09:15:00",5449000000996,1,2010007378550
Labra,T26,"2021-11-22 09:15:00",5449000000996,1,2010007378550
Labra,T26,"2021-11-22 09:16:00",8425561010022,1,2010007378550
Labra,T26,"2021-11-22 09:16:00",8410297161711,1,2010007378550
Labra,T26,"2021-11-22 09:16:00",5449000000996,1,2010007378550
Labra,T26,"2021-11-22 09:16:00",5449000000996,1,2010007378550
Labra,T26,"2021-11-22 09:16:00",5449000000996,1,2010007378550
Labra,T26,"2021-11-22 09:16:00",5449000000996,1,2010007378550
Labra,T26,"2021-11-22 09:16:00",87120158,1,2010007378550
Labra,T26,"2021-11-22 09:16:00",8480024735508,0,008d774b-1527-467b-8be9-e2a23a6ac097
Labra,T26,"2021-11-22 09:16:00",8480024735508,0,008d774b-1527-467b-8be9-e2a23a6ac097
Proaza,T65,"2021-11-22 09:19:00",8480012028728,0,008d774b-1527-467b-8be9-e2a23a6ac097
